,claim_id,time_to_close,claim_amount,amount_paid,location,individuals_on_claim,linked_cases,cause,count_claim_id,group
0,1,317,74474.55,51231.37,RECIFE,15,False,unknown,1,300 - 325
1,2,195,52137.83,42111.3,FORTALEZA,12,True,unknown,1,175 - 200
2,3,183,24447.2,23986.3,SAO LUIS,10,True,meat,1,175 - 200
3,4,186,29006.28,27942.72,FORTALEZA,11,False,meat,1,175 - 200
4,5,138,19520.6,16251.06,RECIFE,11,False,vegetable,1,125 - 150
5,6,183,47529.14,38011.98,NATAL,11,False,unknown,1,175 - 200
6,7,190,39073.26,29826.04,SAO LUIS,12,False,meat,1,175 - 200
7,8,183,29870.56,29727.52,SAO LUIS,8,True,unknown,1,175 - 200
8,9,149,26644.46,23362.14,RECIFE,9,False,meat,1,125 - 150
9,10,149,11544.68,9680.82,NATAL,6,False,vegetable,1,125 - 150
10,11,180,31002.6,27110.18,SAO LUIS,8,False,unknown,1,175 - 200
11,12,208,29802.86,26505.06,SAO LUIS,8,False,unknown,1,200 - 225
12,13,175,23831.65,17145.09,SAO LUIS,7,False,meat,1,175 - 200
13,14,223,42626.53,31053.01,RECIFE,12,False,meat,1,200 - 225
14,15,265,36210.84,24847.68,NATAL,10,False,meat,1,250 - 275
15,16,235,47684.68,33591.0,NATAL,13,False,meat,1,225 - 250
16,17,229,40630.59,29160.14,RECIFE,8,False,unknown,1,225 - 250
17,18,189,36757.41,30501.0,FORTALEZA,12,False,meat,1,175 - 200
18,19,195,10269.56,9160.26,SAO LUIS,4,False,meat,1,175 - 200
19,20,204,24765.33,19404.41,RECIFE,8,False,meat,1,200 - 225
20,21,129,14881.61,10822.15,FORTALEZA,4,False,meat,1,125 - 150
21,22,167,31598.7,22937.73,FORTALEZA,9,False,meat,1,150 - 175
22,23,119,25144.17,24675.2,NATAL,10,False,meat,1,100 - 125
23,24,190,19898.95,16022.6,SAO LUIS,6,False,meat,1,175 - 200
24,25,177,9371.92,7112.45,RECIFE,2,True,unknown,1,175 - 200
25,26,170,8916.35,8420.9,FORTALEZA,3,True,meat,1,150 - 175
26,27,148,16589.53,14038.96,SAO LUIS,6,False,meat,1,125 - 150
27,28,173,23879.46,16113.59,SAO LUIS,11,True,vegetable,1,150 - 175
28,29,184,7277.41,5389.97,RECIFE,2,False,unknown,1,175 - 200
29,30,177,25249.81,19690.69,SAO LUIS,13,True,vegetable,1,175 - 200
30,31,172,12343.57,10961.43,RECIFE,7,True,vegetable,1,150 - 175
31,32,237,44241.95,38422.89,FORTALEZA,11,False,unknown,1,225 - 250
32,33,184,26030.25,20105.699999999997,NATAL,7,True,unknown,1,175 - 200
33,34,262,55464.45,41194.29,NATAL,12,False,unknown,1,250 - 275
34,35,136,12263.77,9586.79,SAO LUIS,4,False,meat,1,125 - 150
35,36,181,42026.19,29408.54,RECIFE,8,True,unknown,1,175 - 200
36,37,161,12528.59,9169.83,SAO LUIS,6,True,vegetable,1,150 - 175
37,38,161,16281.68,11322.28,SAO LUIS,8,True,vegetable,1,150 - 175
38,39,146,17767.87,15263.33,RECIFE,6,False,meat,1,125 - 150
39,40,243,65711.62,46793.75,SAO LUIS,13,False,unknown,1,225 - 250
40,41,233,48334.55,35720.92,RECIFE,14,False,meat,1,225 - 250
41,42,125,17355.92,12983.27,SAO LUIS,5,False,meat,1,125 - 150
42,43,166,8838.44,8487.89,FORTALEZA,6,True,vegetable,1,150 - 175
43,44,189,22790.6,20273.7,NATAL,8,False,meat,1,175 - 200
44,45,178,23258.79,20821.47,RECIFE,6,False,unknown,1,175 - 200
45,46,175,6110.23,4663.12,SAO LUIS,3,True,vegetable,1,175 - 200
46,47,111,3077.46,2529.04,SAO LUIS,1,False,meat,1,100 - 125
47,48,184,36137.84,31374.56,NATAL,9,True,unknown,1,175 - 200
48,49,195,57591.85,41984.51,FORTALEZA,12,True,unknown,1,175 - 200
49,50,168,13771.14,9904.09,RECIFE,3,False,unknown,1,150 - 175
50,51,301,37147.29,26733.28,RECIFE,11,False,meat,1,300 - 325
51,52,192,32133.69,30394.11,SAO LUIS,9,False,unknown,1,175 - 200
52,53,250,40247.32,36845.67,SAO LUIS,15,False,meat,1,250 - 275
53,54,185,42894.54,31984.52,NATAL,13,False,meat,1,175 - 200
54,55,140,8345.22,5999.98,RECIFE,2,False,meat,1,125 - 150
55,56,248,31969.06,24105.93,FORTALEZA,10,False,meat,1,225 - 250
56,57,196,39392.54,31116.67,FORTALEZA,12,False,meat,1,175 - 200
57,58,196,38095.37,25581.59,RECIFE,7,False,unknown,1,175 - 200
58,59,172,18427.98,14338.23,SAO LUIS,4,True,unknown,1,150 - 175
59,60,189,32457.05,29022.52,RECIFE,12,False,meat,1,175 - 200
60,61,190,44480.06,36221.77,RECIFE,14,True,meat,1,175 - 200
61,62,192,42555.08,32090.68,NATAL,9,True,unknown,1,175 - 200
62,63,168,9329.1,7410.36,RECIFE,5,True,vegetable,1,150 - 175
63,64,130,14067.53,9843.57,RECIFE,4,False,meat,1,125 - 150
64,65,179,9503.79,6832.72,RECIFE,5,True,vegetable,1,175 - 200
65,66,290,44838.93,33501.64,SAO LUIS,10,False,unknown,1,275 - 300
66,67,215,47085.36,32161.53,RECIFE,13,False,meat,1,200 - 225
67,68,182,41183.99,30185.83,RECIFE,12,True,meat,1,175 - 200
68,69,181,21339.17,20777.92,NATAL,8,False,meat,1,175 - 200
69,70,159,19517.11,13329.36,SAO LUIS,4,False,unknown,1,150 - 175
70,71,105,7971.09,7037.77,RECIFE,3,False,meat,1,100 - 125
71,72,188,23351.97,21259.89,RECIFE,6,False,unknown,1,175 - 200
72,73,109,5692.89,5542.72,SAO LUIS,2,False,meat,1,100 - 125
73,74,267,42740.52,32356.85,FORTALEZA,13,False,meat,1,250 - 275
74,75,142,39531.87,29692.78,FORTALEZA,8,False,unknown,1,125 - 150
